year,jet_fuel_mt
1990,21.11538432816327
1991,20.95063612163265
1992,22.248892546938773
1993,23.096860056326534
1994,24.209175092244898
1995,25.273869787755103
1996,26.302852313469394
1997,27.544070471836744
1998,28.895951165714287
1999,31.005018911836736
2000,32.326294192653066
2001,31.58837306612245
2002,30.86514371510204
2003,31.414420545306125
2004,33.453315244897965
2005,34.9841925567347
2006,36.62903532408163
2007,38.26347090285716
2008,38.689034913469385
2009,35.348566627755105
2010,35.76006356
2011,36.944953593469386
2012,36.151412585306126
2013,35.95931346693878
2014,36.38443506285715
2015,37.89932943183673
2016,39.785896764897956
2017,42.627717170612236
2018,44.829260980408165
2019,45.79555543265307
2020,19.91746774530612
2021,24.583732296326534
2022,38.53247137877551
2023,42.16384061714285
