YEAR,MONTH_NUM,MONTH_MON,ENTRY_DATE,ENTITY_NAME,ENTITY_TYPE,TYPE_MODEL,DIST_FLOWN_KM,DIST_DIRECT_KM,DIST_ACHIEVED_KM
2025,1,JAN,2025-01-01,Albania,State (FIR),CPF,94803,94483.06,92772.06
2025,1,JAN,2025-01-01,Albania,State (FIR),FTFM,94729,94177.89,91597.3
2025,1,JAN,2025-01-01,Albania,State (FIR),SFR,89373,88889.54000000001,86537.36
2025,1,JAN,2025-01-01,Armenia,State (FIR),CPF,33972,33625.36,32441.71
2025,1,JAN,2025-01-01,Armenia,State (FIR),FTFM,33598,33294.49,31896.34
2025,1,JAN,2025-01-01,Armenia,State (FIR),SFR,35595,35302.26,33674.73
2025,1,JAN,2025-01-01,Austria,State (FIR),CPF,522830,521856.62,514052.93
2025,1,JAN,2025-01-01,Austria,State (FIR),FTFM,522743,520816.19,509531.11
2025,1,JAN,2025-01-01,Austria,State (FIR),SFR,502029,500288.05,489621.44
2025,1,JAN,2025-01-01,BLUE MED FAB,FAB (FIR),CPF,3063736,3040956.63,2994867.15
2025,1,JAN,2025-01-01,BLUE MED FAB,FAB (FIR),FTFM,3085009,3041668.13,2985434.88
2025,1,JAN,2025-01-01,BLUE MED FAB,FAB (FIR),SFR,2995600,2956921.84,2904456.8
2025,1,JAN,2025-01-01,Baltic FAB,FAB (FIR),CPF,537950,533556.68,510113.59
2025,1,JAN,2025-01-01,Baltic FAB,FAB (FIR),FTFM,545304,535348.97,506583.37
2025,1,JAN,2025-01-01,Baltic FAB,FAB (FIR),SFR,525244,516410.64,490038.53
2025,1,JAN,2025-01-01,Belgium,State (FIR),CPF,349072,347991.45,340604.24
2025,1,JAN,2025-01-01,Belgium,State (FIR),FTFM,369847,365117.85000000003,351375.67
2025,1,JAN,2025-01-01,Belgium,State (FIR),SFR,366717,362478.19,349423.96
2025,1,JAN,2025-01-01,Bosnia and Herzegovina,State (FIR),CPF,247025,246916.85,244404.52000000002
2025,1,JAN,2025-01-01,Bosnia and Herzegovina,State (FIR),FTFM,254898,254712.98,251660.46
2025,1,JAN,2025-01-01,Bosnia and Herzegovina,State (FIR),SFR,245412,245266.1,242306.80000000002
2025,1,JAN,2025-01-01,Bulgaria,State (FIR),CPF,611338,610198.24,592204.4
2025,1,JAN,2025-01-01,Bulgaria,State (FIR),FTFM,593921,591932.49,573085.92
2025,1,JAN,2025-01-01,Bulgaria,State (FIR),SFR,552839,550855.1900000001,533501.77
2025,1,JAN,2025-01-01,Croatia,State (FIR),CPF,386532,386177.68,381704.89
2025,1,JAN,2025-01-01,Croatia,State (FIR),FTFM,383535,382968.58,377661.36
2025,1,JAN,2025-01-01,Croatia,State (FIR),SFR,362378,362034.47000000003,357170.5
2025,1,JAN,2025-01-01,Cyprus,State (FIR),CPF,314437,312497.88,302014.25
2025,1,JAN,2025-01-01,Cyprus,State (FIR),FTFM,318810,313803.75,302809.67
2025,1,JAN,2025-01-01,Cyprus,State (FIR),SFR,298751,293932.73,283860.16000000003
2025,1,JAN,2025-01-01,Czech Republic,State (FIR),CPF,305863,305274.31,299140.88
2025,1,JAN,2025-01-01,Czech Republic,State (FIR),FTFM,303581,302265.44,293977.8
2025,1,JAN,2025-01-01,Czech Republic,State (FIR),SFR,289770,288545.41000000003,280820.51
2025,1,JAN,2025-01-01,DANUBE FAB,FAB (FIR),CPF,1336830,1332377.6099999999,1290003.71
2025,1,JAN,2025-01-01,DANUBE FAB,FAB (FIR),FTFM,1294754,1289551.4100000001,1245792.05
2025,1,JAN,2025-01-01,DANUBE FAB,FAB (FIR),SFR,1209467,1204531.16,1164418.94
2025,1,JAN,2025-01-01,DK-SE FAB,FAB (FIR),CPF,579675,578626.41,571710.51
2025,1,JAN,2025-01-01,DK-SE FAB,FAB (FIR),FTFM,582630,578516.71,567952.3200000001
2025,1,JAN,2025-01-01,DK-SE FAB,FAB (FIR),SFR,568696,564845.61,555270.83
2025,1,JAN,2025-01-01,Denmark,State (FIR),CPF,203607,203418.47,201101.19
2025,1,JAN,2025-01-01,Denmark,State (FIR),FTFM,205123,204295.91,199986.84
2025,1,JAN,2025-01-01,Denmark,State (FIR),SFR,198427,197680.94,193818.6
2025,1,JAN,2025-01-01,EUROCONTROL Area (PRR),Area (FIR),CPF,24192540,23682363.85,23552754.89
2025,1,JAN,2025-01-01,EUROCONTROL Area (PRR),Area (FIR),FTFM,24223270,23424971.12,23247704.21
2025,1,JAN,2025-01-01,EUROCONTROL Area (PRR),Area (FIR),SFR,23495578,22755835.42,22583009.14
2025,1,JAN,2025-01-01,Estonia,State (FIR),CPF,69628,69385.46,65562.9
2025,1,JAN,2025-01-01,Estonia,State (FIR),FTFM,68019,67849.72,63912.380000000005
2025,1,JAN,2025-01-01,Estonia,State (FIR),SFR,62830,62662.98,58926.18
2025,1,JAN,2025-01-01,FAB CE,FAB (FIR),CPF,2149371,2141770.33,2110052.33
2025,1,JAN,2025-01-01,FAB CE,FAB (FIR),FTFM,2141130,2128140.08,2088122.52
2025,1,JAN,2025-01-01,FAB CE,FAB (FIR),SFR,2042626,2030744.64,1993687.25
2025,1,JAN,2025-01-01,FAB CE (SES RP1),FAB (FIR),CPF,1515852,1509841.21,1483983.55
2025,1,JAN,2025-01-01,FAB CE (SES RP1),FAB (FIR),FTFM,1503846,1493306.1,1459970.88
2025,1,JAN,2025-01-01,FAB CE (SES RP1),FAB (FIR),SFR,1435055,1425293.58,1394462.82
2025,1,JAN,2025-01-01,FAB CE (SES RP2),FAB (FIR),CPF,1901623,1894596.6,1864929.4100000001
2025,1,JAN,2025-01-01,FAB CE (SES RP2),FAB (FIR),FTFM,1887392,1875281.19,1837613.9
2025,1,JAN,2025-01-01,FAB CE (SES RP2),FAB (FIR),SFR,1797875,1786771.3900000001,1752035.57
2025,1,JAN,2025-01-01,FABEC,FAB (FIR),CPF,6336024,6263448.96,6179596.98
2025,1,JAN,2025-01-01,FABEC,FAB (FIR),FTFM,6392199,6212485.43,6102936.32
2025,1,JAN,2025-01-01,FABEC,FAB (FIR),SFR,6273583,6105680.78,6000057.86
2025,1,JAN,2025-01-01,Finland,State (FIR),CPF,101788,101567.32,98634.42
2025,1,JAN,2025-01-01,Finland,State (FIR),FTFM,103378,102968.8,99718.33
2025,1,JAN,2025-01-01,Finland,State (FIR),SFR,98347,97899.7,94687.63
2025,1,JAN,2025-01-01,France,State (FIR),CPF,3536964,3499439.48,3442348.26
2025,1,JAN,2025-01-01,France,State (FIR),FTFM,3556841,3457244.25,3385156.86
2025,1,JAN,2025-01-01,France,State (FIR),SFR,3503414,3410061.41,3339919.42
2025,1,JAN,2025-01-01,Georgia,State (FIR),CPF,197090,196319.24,184407.19
2025,1,JAN,2025-01-01,Georgia,State (FIR),FTFM,182952,181804.35,172150.93
2025,1,JAN,2025-01-01,Georgia,State (FIR),SFR,162330,161432.17,153629.61000000002
2025,1,JAN,2025-01-01,Germany,State (FIR),CPF,1809018,1800254.4100000001,1774586.6800000002
2025,1,JAN,2025-01-01,Germany,State (FIR),FTFM,1823403,1790235.54,1752794.0899999999
2025,1,JAN,2025-01-01,Germany,State (FIR),SFR,1768969,1738393.05,1703318.9300000002
2025,1,JAN,2025-01-01,Greece,State (FIR),CPF,989353,986868.47,975951.78
2025,1,JAN,2025-01-01,Greece,State (FIR),FTFM,995045,987377.43,973713.71
2025,1,JAN,2025-01-01,Greece,State (FIR),SFR,946603,940701.31,929101.89
2025,1,JAN,2025-01-01,Hungary,State (FIR),CPF,443519,443002.16000000003,434651.16000000003
2025,1,JAN,2025-01-01,Hungary,State (FIR),FTFM,436073,434392.31,424288.5
2025,1,JAN,2025-01-01,Hungary,State (FIR),SFR,410672,409101.02,399665
2025,1,JAN,2025-01-01,Ireland,State (FIR),CPF,247584,247301.42,244641.84
2025,1,JAN,2025-01-01,Ireland,State (FIR),FTFM,198682,197868.44,194723.62
2025,1,JAN,2025-01-01,Ireland,State (FIR),SFR,162616,162077.38,159344.16
2025,1,JAN,2025-01-01,Italy,State (FIR),CPF,1616593,1603468.1099999999,1575574.8900000001
2025,1,JAN,2025-01-01,Italy,State (FIR),FTFM,1630207,1605558.22,1569977.8
2025,1,JAN,2025-01-01,Italy,State (FIR),SFR,1614080,1590619.9300000002,1557090.2
2025,1,JAN,2025-01-01,Latvia,State (FIR),CPF,74913,74647.44,69631.21
2025,1,JAN,2025-01-01,Latvia,State (FIR),FTFM,75100,74747.45,69704.08
2025,1,JAN,2025-01-01,Latvia,State (FIR),SFR,71450,71075.54000000001,66385.61
2025,1,JAN,2025-01-01,Lithuania,State (FIR),CPF,62276,62133.96,56100
2025,1,JAN,2025-01-01,Lithuania,State (FIR),FTFM,62575,62382.23,55428.47
2025,1,JAN,2025-01-01,Lithuania,State (FIR),SFR,60035,59854.04,53298.64
2025,1,JAN,2025-01-01,Malta,State (FIR),CPF,131208,131056.26000000001,129315.5
2025,1,JAN,2025-01-01,Malta,State (FIR),FTFM,130154,129990.17,128178.59
2025,1,JAN,2025-01-01,Malta,State (FIR),SFR,116959,116849.89,115372.95
2025,1,JAN,2025-01-01,Moldova,State (FIR),CPF,1857,1825.96,1627.08
2025,1,JAN,2025-01-01,Moldova,State (FIR),FTFM,733,728.13,613.67
2025,1,JAN,2025-01-01,Moldova,State (FIR),SFR,733,728.13,613.67
2025,1,JAN,2025-01-01,Morocco,State (FIR),CPF,877401,873514,863692.11
2025,1,JAN,2025-01-01,Morocco,State (FIR),FTFM,877812,868339.43,857303.49
