Year,Scenario,Total_Fuel,SAF_Share,CO2_Emissions,Avoided_CO2
2026,0,38.5,1.4,120.383,1.277
2026,1,38.5,3.8,118.193,3.467
2027,0,38.5,1.8,120.018,1.642
2027,1,38.5,5.6,116.55,5.11
2028,0,38.5,2.2,119.653,2.007
2028,1,38.5,7.4,114.908,6.752
2029,0,38.5,2.6,119.288,2.372
2029,1,38.5,9.2,113.265,8.395
2030,0,38.5,3.0,118.923,2.737
2030,1,38.5,11.0,111.623,10.037
2031,0,38.5,4.4,117.645,4.015
2031,1,38.5,14.8,108.156,13.504
2032,0,38.5,5.8,116.368,5.292
2032,1,38.5,18.6,104.688,16.972
2033,0,38.5,7.2,115.09,6.57
2033,1,38.5,22.4,101.221,20.439
2034,0,38.5,8.6,113.813,7.847
2034,1,38.5,26.2,97.754,23.906
2035,0,38.5,10.0,112.536,9.125
2035,1,38.5,30.0,94.286,27.374
2036,0,38.5,11.7,110.984,10.676
2036,1,38.5,32.7,91.823,29.837
2037,0,38.5,13.3,109.524,12.136
2037,1,38.5,35.3,89.451,32.209
2038,0,38.5,15.0,107.973,13.687
2038,1,38.5,38.0,86.987,34.673
2039,0,38.5,16.7,106.422,15.238
2039,1,38.5,40.7,84.523,37.137
2040,0,38.5,18.3,104.962,16.698
2040,1,38.5,43.3,82.151,39.509
2041,0,38.5,20.0,103.411,18.249
2041,1,38.5,46.0,79.687,41.973
2042,0,38.5,21.7,101.86,19.8
2042,1,38.5,48.7,77.224,44.436
2043,0,38.5,23.3,100.4,21.26
2043,1,38.5,51.3,74.851,46.809
2044,0,38.5,25.0,98.849,22.811
2044,1,38.5,54.0,72.388,49.272
2045,0,38.5,26.7,97.298,24.362
2045,1,38.5,56.7,69.924,51.736
2046,0,38.5,28.3,95.838,25.822
2046,1,38.5,59.3,67.552,54.108
2047,0,38.5,30.0,94.286,27.374
2047,1,38.5,62.0,65.088,56.572
2048,0,38.5,31.7,92.735,28.925
2048,1,38.5,64.7,62.624,59.036
2049,0,38.5,33.3,91.275,30.385
2049,1,38.5,67.3,60.252,61.408
2050,0,38.5,35.0,89.724,31.936
2050,1,38.5,70.0,57.789,63.872
