Year,Scenario,Total_Fuel,SAF_Share,CO2_Emissions,Avoided_CO2,Total_Fuel_tonnes,SAF_tonnes,Jet_tonnes,Jet_Price_EUR_per_tonne,SAF_Price_EUR_per_tonne,Carbon_Price_EUR_per_tCO2,Jet_Fuel_Cost_EUR,SAF_Fuel_Cost_EUR,Total_Fuel_Cost_EUR,Fossil_Only_Fuel_Cost_EUR,Extra_SAF_Fuel_Cost_EUR,Carbon_Cost_EUR,ETS_Savings_EUR,Net_Abatement_Cost_EUR,MAC_EUR_per_tCO2
2026,0,38.5,1.4,120.383,1.277,38500000.0,539000.0,37961000.0,806.0,2184.0,77.0,30596566000.0,1177176000.0,31773742000.0,31031000000.0,742742000.0,9269491000.0,98329000.0,644413000.0,504.6303837118246
2026,1,38.5,3.8,118.193,3.467,38500000.0,1463000.0,37037000.0,806.0,2184.0,77.0,29851822000.0,3195192000.0,33047014000.0,31031000000.0,2016014000.0,9100861000.0,266959000.0,1749055000.0,504.48658782809343
2027,0,38.5,1.8,120.018,1.642,38500000.0,693000.0000000001,37807000.0,812.0,2168.0,84.0,30699284000.0,1502424000.0000002,32201708000.0,31262000000.0,939708000.0,10081512000.0,137928000.0,801780000.0,488.29476248477465
2027,1,38.5,5.6,116.55,5.11,38500000.0,2156000.0,36344000.0,812.0,2168.0,84.0,29511328000.0,4674208000.0,34185536000.0,31262000000.0,2923536000.0,9790200000.0,429240000.0,2494296000.0,488.1205479452055
2028,0,38.5,2.2,119.653,2.007,38500000.0,847000.0000000001,37653000.0,818.0,2152.0,91.0,30800154000.0,1822744000.0000002,32622898000.0,31493000000.0,1129898000.0,10888423000.0,182637000.00000003,947261000.0,471.97857498754354
2028,1,38.5,7.4,114.908,6.752,38500000.0,2849000.0000000005,35651000.0,818.0,2152.0,91.0,29162518000.0,6131048000.000001,35293566000.0,31493000000.0,3800566000.0,10456628000.0,614432000.0,3186134000.0,471.8800355450237
2029,0,38.5,2.6,119.288,2.372,38500000.0,1001000.0000000001,37499000.0,824.0,2136.0,98.0,30899176000.0,2138136000.0000002,33037312000.0,31724000000.0,1313312000.0,11690224000.0,232456000.0,1080856000.0,455.67284991568295
2029,1,38.5,9.2,113.265,8.395,38500000.0,3542000.0,34958000.0,824.0,2136.0,98.0,28805392000.0,7565712000.0,36371104000.0,31724000000.0,4647104000.0,11099970000.0,822710000.0,3824394000.0,455.5561643835616
2030,0,38.5,3.0,118.923,2.737,38500000.0,1155000.0,37345000.0,830.0,2120.0,105.0,30996350000.0,2448600000.0,33444950000.0,31955000000.0,1489950000.0,12486915000.0,287385000.0,1202565000.0,439.37340153452686
2030,1,38.5,11.0,111.623,10.037,38500000.0,4235000.0,34265000.0,830.0,2120.0,105.0,28439950000.0,8978200000.0,37418150000.0,31955000000.0,5463150000.0,11720415000.0,1053885000.0,4409265000.0,439.3010859818671
2031,0,38.5,4.4,117.645,4.015,38500000.0,1694000.0000000002,36806000.0,836.0,2104.0,112.0,30769816000.0,3564176000.0000005,34333992000.0,32186000000.0,2147992000.0,13176240000.0,449679999.99999994,1698312000.0,422.99178082191787
2031,1,38.5,14.8,108.156,13.504,38500000.0,5698000.000000001,32802000.0,836.0,2104.0,112.0,27422472000.0,11988592000.000002,39411064000.0,32186000000.0,7225064000.0,12113472000.0,1512448000.0,5712616000.0,423.0313981042654
2032,0,38.5,5.8,116.368,5.292,38500000.0,2233000.0,36267000.0,842.0,2088.0,119.0,30536814000.0,4662504000.0,35199318000.0,32417000000.0,2782318000.0,13847792000.0,629748000.0,2152570000.0,406.75925925925924
2032,1,38.5,18.6,104.688,16.972,38500000.0,7161000.000000001,31339000.0,842.0,2088.0,119.0,26387438000.0,14952168000.000002,41339606000.0,32417000000.0,8922606000.0,12457872000.0,2019668000.0,6902938000.0,406.72507659674756
2033,0,38.5,7.2,115.09,6.57,38500000.0,2772000.0000000005,35728000.0,848.0,2072.0,126.0,30297344000.0,5743584000.000001,36040928000.0,32648000000.0,3392928000.0,14501340000.0,827820000.0,2565108000.0,390.42739726027395
2033,1,38.5,22.4,101.221,20.439,38500000.0,8624000.0,29876000.0,848.0,2072.0,126.0,25334848000.0,17868928000.0,43203776000.0,32648000000.0,10555776000.0,12753846000.0,2575314000.0,7980462000.0,390.45266402465876
2034,0,38.5,8.6,113.813,7.847,38500000.0,3310999.9999999995,35189000.0,854.0,2056.0,133.0,30051406000.0,6807415999.999999,36858822000.0,32879000000.0,3979822000.0,15137129000.0,1043651000.0,2936171000.0,374.1775200713648
2034,1,38.5,26.2,97.754,23.906,38500000.0,10087000.0,28413000.0,854.0,2056.0,133.0,24264702000.0,20738872000.0,45003574000.0,32879000000.0,12124574000.0,13001282000.0,3179498000.0,8945076000.0,374.1770266878608
2035,0,38.5,10.0,112.536,9.125,38500000.0,3850000.0,34650000.0,860.0,2040.0,140.0,29799000000.0,7854000000.0,37653000000.0,33110000000.0,4543000000.0,15755040000.0,1277500000.0,3265500000.0,357.86301369863014
2035,1,38.5,30.0,94.286,27.374,38500000.0,11550000.0,26950000.0,860.0,2040.0,140.0,23177000000.0,23562000000.0,46739000000.0,33110000000.0,13629000000.0,13200040000.0,3832360000.0,9796640000.0,357.88120113976765
2036,0,38.5,11.7,110.984,10.676,38500000.0,4504500.0,33995500.0,866.0,2024.0,142.66666666666666,29440103000.0,9117108000.0,38557211000.0,33341000000.0,5216211000.0,15833717333.333332,1523109333.3333333,3693101666.666667,345.925596353191
2036,1,38.5,32.7,91.823,29.837,38500000.0,12589500.0,25910500.0,866.0,2024.0,142.66666666666666,22438493000.0,25481148000.0,47919641000.0,33341000000.0,14578641000.0,13100081333.333332,4256745333.333333,10321895666.666668,345.9428114980282
2037,0,38.5,13.3,109.524,12.136,38500000.0,5120500.0,33379500.0,872.0,2008.0,145.33333333333334,29106924000.0,10281964000.0,39388888000.0,33572000000.0,5816888000.0,15917488000.000002,1763765333.3333335,4053122666.6666665,333.97517029224343
2037,1,38.5,35.3,89.451,32.209,38500000.0,13590500.0,24909500.0,872.0,2008.0,145.33333333333334,21721084000.0,27289724000.0,49010808000.0,33572000000.0,15438808000.0,13000212000.0,4681041333.333334,10757766666.666666,333.99877880923543
2038,0,38.5,15.0,107.973,13.687,38500000.0,5775000.0,32725000.0,878.0,1992.0,148.0,28732550000.0,11503800000.0,40236350000.0,33803000000.0,6433350000.0,15980004000.0,2025676000.0,4407674000.0,322.03360853364507
2038,1,38.5,38.0,86.987,34.673,38500000.0,14630000.0,23870000.0,878.0,1992.0,148.0,20957860000.0,29142960000.0,50100820000.0,33803000000.0,16297820000.0,12874076000.0,5131604000.0,11166216000.0,322.0435497361059
2039,0,38.5,16.7,106.422,15.238,38500000.0,6429499.999999999,32070500.0,884.0,1976.0,150.66666666666666,28350322000.0,12704691999.999998,41055014000.0,34034000000.0,7021014000.0,16034247999.999998,2295858666.6666665,4725155333.333334,310.09025681410515
2039,1,38.5,40.7,84.523,37.137,38500000.0,15669500.000000002,22830500.0,884.0,1976.0,150.66666666666666,20182162000.0,30962932000.000004,51145094000.0,34034000000.0,17111094000.0,12734798666.666666,5595308000.0,11515786000.0,310.0892910035813
2040,0,38.5,18.3,104.962,16.698,38500000.0,7045500.0,31454500.0,890.0,1960.0,153.33333333333334,27994505000.0,13809180000.0,41803685000.0,34265000000.0,7538685000.0,16094173333.333334,2560360000.0,4978325000.0,298.13899868247694
2040,1,38.5,43.3,82.151,39.509,38500000.0,16670500.0,21829500.0,890.0,1960.0,153.33333333333334,19428255000.0,32674180000.0,52102435000.0,34265000000.0,17837435000.0,12596486666.666668,6058046666.666667,11779388333.333332,298.14443122664034
2041,0,38.5,20.0,103.411,18.249,38500000.0,7700000.0,30800000.0,896.0,1944.0,156.0,27596800000.0,14968800000.0,42565600000.0,34496000000.0,8069600000.0,16132116000.0,2846844000.0,5222756000.0,286.1940928270042
2041,1,38.5,46.0,79.687,41.973,38500000.0,17710000.0,20790000.0,896.0,1944.0,156.0,18627840000.0,34428240000.0,53056080000.0,34496000000.0,18560080000.0,12431172000.0,6547788000.0,12012292000.0,286.1909322659805
2042,0,38.5,21.7,101.86,19.8,38500000.0,8354500.0,30145500.0,902.0,1928.0,158.66666666666666,27191241000.0,16107476000.0,43298717000.0,34727000000.0,8571717000.0,16161786666.666666,3141600000.0,5430117000.0,274.24833333333333
2042,1,38.5,48.7,77.224,44.436,38500000.0,18749500.0,19750500.0,902.0,1928.0,158.66666666666666,17814951000.0,36149036000.0,53963987000.0,34727000000.0,19236987000.0,12252874666.666666,7050512000.0,12186475000.0,274.2477945809704
2043,0,38.5,23.3,100.4,21.26,38500000.0,8970500.0,29529500.0,908.0,1912.0,161.33333333333334,26812786000.0,17151596000.0,43964382000.0,34958000000.0,9006382000.0,16197866666.666668,3429946666.666667,5576435333.333333,262.2970523675133
2043,1,38.5,51.3,74.851,46.809,38500000.0,19750500.0,18749500.0,908.0,1912.0,161.33333333333334,17024546000.0,37762956000.0,54787502000.0,34958000000.0,19829502000.0,12075961333.333334,7551852000.0,12277650000.0,262.29250785105427
2044,0,38.5,25.0,98.849,22.811,38500000.0,9625000.0,28875000.0,914.0,1896.0,164.0,26391750000.0,18249000000.0,44640750000.0,35189000000.0,9451750000.0,16211236000.0,3741004000.0,5710746000.0,250.35053263776248
2044,1,38.5,54.0,72.388,49.272,38500000.0,20790000.0,17710000.0,914.0,1896.0,164.0,16186940000.0,39417840000.0,55604780000.0,35189000000.0,20415780000.0,11871632000.0,8080608000.0,12335172000.0,250.3485143692158
2045,0,38.5,26.7,97.298,24.362,38500000.0,10279500.0,28220500.0,920.0,1880.0,166.66666666666666,25962860000.0,19325460000.0,45288320000.0,35420000000.0,9868320000.0,16216333333.333332,4060333333.333333,5807986666.666667,238.40352461483732
2045,1,38.5,56.7,69.924,51.736,38500000.0,21829500.000000004,16670499.999999996,920.0,1880.0,166.66666666666666,15336859999.999996,41039460000.00001,56376320000.0,35420000000.0,20956320000.0,11654000000.0,8622666666.666666,12333653333.333334,238.39595897118707
2046,0,38.5,28.3,95.838,25.822,38500000.0,10895500.000000002,27604500.0,926.0,1864.0,169.33333333333334,25561767000.0,20309212000.000004,45870979000.0,35651000000.0,10219979000.0,16228568000.0,4372525333.333334,5847453666.666666,226.45239201714298
2046,1,38.5,59.3,67.552,54.108,38500000.0,22830500.0,15669500.0,926.0,1864.0,169.33333333333334,14509957000.0,42556052000.0,57066009000.0,35651000000.0,21415009000.0,11438805333.333334,9162288000.0,12252721000.0,226.44934205662747
2047,0,38.5,30.0,94.286,27.374,38500000.0,11550000.0,26950000.0,932.0,1848.0,172.0,25117400000.0,21344400000.0,46461800000.0,35882000000.0,10579800000.0,16217192000.0,4708328000.0,5871472000.0,214.49083071527727
2047,1,38.5,62.0,65.088,56.572,38500000.0,23870000.0,14630000.0,932.0,1848.0,172.0,13635160000.0,44111760000.0,57746920000.0,35882000000.0,21864920000.0,11195135999.999998,9730384000.0,12134536000.0,214.49720709891818
2048,0,38.5,31.7,92.735,28.925,38500000.0,12204500.0,26295500.0,938.0,1832.0,174.66666666666666,24665179000.0,22358644000.0,47023823000.0,36113000000.0,10910823000.0,16197713333.333332,5052233333.333333,5858589666.666667,202.54415442235668
2048,1,38.5,64.7,62.624,59.036,38500000.0,24909500.0,13590500.0,938.0,1832.0,174.66666666666666,12747889000.0,45634204000.0,58382093000.0,36113000000.0,22269093000.0,10938325333.333332,10311621333.333332,11957471666.666668,202.54542426090296
2049,0,38.5,33.3,91.275,30.385,38500000.0,12820499.999999998,25679500.0,944.0,1816.0,177.33333333333331,24241448000.0,23282027999.999996,47523476000.0,36344000000.0,11179476000.0,16186099999.999998,5388273333.333333,5791202666.666667,190.59413087598048
2049,1,38.5,67.3,60.252,61.408,38500000.0,25910499.999999996,12589500.000000004,944.0,1816.0,177.33333333333331,11884488000.000004,47053467999.99999,58937956000.0,36344000000.0,22593956000.0,10684687999.999998,10889685333.333332,11704270666.666668,190.59846708355047
2050,0,38.5,35.0,89.724,31.936,38500000.0,13475000.0,25025000.0,950.0,1800.0,180.0,23773750000.0,24255000000.0,48028750000.0,36575000000.0,11453750000.0,16150320000.0,5748480000.0,5705270000.0,178.64698146292585
2050,1,38.5,70.0,57.789,63.872,38500000.0,26950000.0,11550000.0,950.0,1800.0,180.0,10972500000.0,48510000000.0,59482500000.0,36575000000.0,22907500000.0,10402020000.0,11496960000.0,11410540000.0,178.64698146292585
