DATAFLOW,LAST UPDATE,freq,schedule,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2019-01,494946,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2019-02,459903,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2019-03,530005,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2019-04,581335,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2019-05,629033,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2019-06,662490,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2019-07,702675,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2019-08,695347,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2019-09,664845,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2019-10,621168,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2019-11,503248,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2019-12,503846,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2020-01,490911,,
