YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,NBR_FLIGHTS_DESCENT,TOT_DIST_LEVEL_NM_DESCENT,TOT_DIST_LVL_NM_DESC_BLW_70,TOT_TIME_LEVEL_SECONDS_DESCENT,TOT_TIME_LEVEL_SEC_DESC_BLW_70,MEDIAN_CDO_ALT,NBR_CDO_FLIGHTS,NBR_CDO_FLIGHTS_BELOW_7000,TOT_DELTA_CO2_KG_DESCENT,TOT_DELTA_CO2_KG_DESC_BLW_70,NBR_FLIGHTS_CLIMB,TOT_DIST_LEVEL_NM_CLIMB,TOT_DIST_LVL_NM_CLIMB_BLW_100,TOT_TIME_LEVEL_SECONDS_CLIMB,TOT_TIME_LVL_SEC_CLIMB_BLW_100,MEDIAN_CCO_ALT,NBR_CCO_FLIGHTS,NBR_CCO_FLIGHTS_BELOW_10000,TOT_DELTA_CO2_KG_CLIMB,TOT_DELTA_CO2_KG_CLIMB_BLW_100,AIRPORT_NAME
2024,1,JAN,EBAW,Antwerp,Belgium,334,5639.023145584415,1804.8485898537222,83720,42320,3000,54,78,10232.1561766,3219.3641588999994,300,1339.169776821023,181.381051977251,14280,3380,23985.4895104895,206,270,2537.6029235000005,198.910922,Antwerp (EBAW)
2024,1,JAN,EBBL,Kleine Brogel,Belgium,3,102.633301309563,41.078993900268486,1160,560,3033.928571428571,0,0,407.19835,151.84993000000003,1,0,0,0,0,31000,1,1,0,0,Kleine Brogel (EBBL)
2024,1,JAN,EBBR,Brussels,Belgium,6554,114460.4469203889,15460.9720516462,1237700,300300,3818.60433604336,1056,2483,916304.167649,299805.80282769987,6558,31704.7567127478,521.9903856124461,263860,7520,34982.4424706838,4632,6349,73732.4906863,6501.634146999999,Brussels (EBBR)
2024,1,JAN,EBCI,Charleroi,Belgium,2383,46907.560069455394,5733.9862354979705,514980,108440,5971.875,399,1081,293800.455879,68905.289764,2378,20871.175216042,1233.335996124641,180960,16460,35000,1317,2113,44117.7776258,6664.3849453,Charleroi (EBCI)
2024,1,JAN,EBCV,Chievres,Belgium,19,479.0640731549191,204.11940376060102,6220,3540,3083.0188679245284,1,6,1159.280994,292.1749700000001,20,181.488990732958,4.6664370298651905,1460,60,18000,14,18,378.748985,0.0676250000000014,Chievres (EBCV)
2024,1,JAN,EBFN,Koksijde,Belgium,1,1.4398848092152698,1.4398848092152698,40,40,5420,0,0,0.50085,0.50085,1,0,0,0,0,7000,1,1,0,0,Koksijde (EBFN)
2024,1,JAN,EBFS,Florennes,Belgium,2,170.180331812561,89.3578692276047,2560,1680,2902.786458333333,0,0,1744.2453449999991,1210.044649999999,1,0,0,0,0,24000,1,1,0,0,Florennes (EBFS)
2024,1,JAN,EBKT,Kortrijk/Wevelgem,Belgium,150,2086.790908572923,600.4940768959591,34680,14820,2947.9981884057975,34,56,1676.1813881999992,768.2914672,144,635.751734920069,174.65109804558702,8400,4020,20992.0036764706,110,128,398.88048150000003,35.55312650000001,Kortrijk/Wevelgem (EBKT)
2024,1,JAN,EBLG,Liege,Belgium,1120,23369.320917987097,4278.556728242877,269220,82060,3959.935897435897,152,337,352563.6883062999,143834.5839377999,1128,4518.834574869888,235.359915404154,41320,5960,32000,856,1081,18644.5753454,2358.6862,Liege (EBLG)
2024,1,JAN,EBNM,Namur,Belgium,1,18.729956148962618,0,340,0,7860.606060606062,0,1,-0.5596499999999986,0,1,6.54224723491386,6.54224723491386,180,180,4772.898550724638,0,0,0.3895499999999998,0.3895499999999998,Namur (EBNM)
2024,1,JAN,EBOS,Ostend/Bruges,Belgium,159,2166.6066668844032,1084.645713299405,32520,22080,5957.954545454546,19,41,27552.2337453,21767.059155299998,164,1260.17256744325,45.28831510699135,10380,760,35000,112,156,3726.9813634999996,308.907109,Ostend/Bruges (EBOS)
2024,1,JAN,EBSP,Spa,Belgium,1,8.056678046401439,8.056678046401439,240,240,4580.564516129033,0,0,-0.0315000000000003,-0.0315000000000003,,,,,,,,,,,Spa (EBSP)
2024,1,JAN,EBST,St Truiden,Belgium,6,156.275681147449,138.250123192086,3597,3197,4106.122448979592,1,1,15.28172,15.08485,6,24.44703865616107,24.44703865616107,620,620,4069.867021276596,2,2,-1.20251,-1.20251,St Truiden (EBST)
2024,1,JAN,EBUL,Ursel,Belgium,1,0,0,0,0,3000,1,1,0,0,1,0,0,0,0,7000,1,1,0,0,Ursel (EBUL)
2024,1,JAN,EDAB,Bautzen,Germany,5,69.84745578052276,63.90793094250983,1260,1200,3100,0,0,76.2428175,81.34319749999999,5,6.90544756419487,0,60,0,20000,4,5,0.9394899999999992,0,Bautzen (EDAB)
2024,1,JAN,EDAC,Leipzig Altenburg,Germany,15,265.791534630321,219.281355151424,6540,5780,3958.333333333333,2,2,321.812016,164.71962900000003,17,58.72030715445961,51.69440768795539,1420,1180,20000,14,14,8.602023700000009,7.3152487,Leipzig Altenburg (EDAC)
2024,1,JAN,EDAD,Dessau,Germany,2,18.874259290026078,2.92476601871854,240,60,14227.0833333333,0,1,-0.061424999999996295,3.1358249999999996,2,0,0,0,0,24000,2,2,0,0,Dessau (EDAD)
2024,1,JAN,EDAH,Heringsdorf,Germany,6,165.600130377063,131.490849718811,3980,3580,3042.105263157895,0,0,42.14316399999999,45.62449699999999,5,33.77106605131875,2.02705095067804,320,60,26000,3,4,-10.29299499999999,0.6615,Heringsdorf (EDAH)
2024,1,JAN,EDAK,Grossenhain,Germany,1,0,0,0,0,30000,1,1,0,0,,,,,,,,,,,Grossenhain (EDAK)
2024,1,JAN,EDAQ,Halle Oppin,Germany,3,7.92836573074153,7.92836573074153,180,180,4104.166666666668,0,0,0.86205,0.86205,2,15.874730021598259,15.874730021598259,400,400,15555,1,1,5.6511,5.6511,Halle Oppin (EDAQ)
2024,1,JAN,EDAU,Riesa Gohlis,Germany,1,3.23974082073434,3.23974082073434,60,60,3800,0,0,-0.3874499999999998,-0.3874499999999998,,,,,,,,,,,Riesa Gohlis (EDAU)
2024,1,JAN,EDAV,Eberswalde Finow,Germany,6,3.38628647413125,3.38628647413125,80,80,13500,4,4,7.631925,7.631925,5,0,0,0,0,22000,5,5,0,0,Eberswalde Finow (EDAV)
2024,1,JAN,EDAY,Strausberg,Germany,19,207.68243677338,117.45580244511001,5540,3200,3124.6557377049185,5,6,84.66119849999998,78.7370985,15,94.4551804890593,92.49170120376574,2840,2820,10000,11,12,2.091075,3.003525,Strausberg (EDAY)
2024,1,JAN,EDAZ,Schonhagen,Germany,66,635.77813887733,504.18761674086505,13160,11200,3727.459016393442,19,23,269.440035,252.77338550000002,82,336.685017321629,305.72154711124,6880,6540,13000,67,70,-1.7808280000000098,-9.356011,Schonhagen (EDAZ)
2024,1,JAN,EDBJ,Jena Schongleina,Germany,4,44.33889560249177,44.33889560249177,1080,1080,5978.75,2,2,55.592227999999984,55.592227999999984,3,0,0,0,0,20000,3,3,0,0,Jena Schongleina (EDBJ)
2024,1,JAN,EDBK,Kyritz,Germany,15,151.236453205179,151.236453205179,6000,6000,4322.950819672131,7,7,40.565165,40.565165,2,0,0,0,0,28000,2,2,0,0,Kyritz (EDBK)
